MonthYear,District,ServiceId,Count
1 - 2019,279,0,1
1 - 2019,280,0,3
1 - 2019,281,0,1
1 - 2019,281,1,1
1 - 2019,282,0,3
1 - 2019,284,0,5
1 - 2019,285,0,6
1 - 2019,287,0,8
1 - 2019,289,0,2
1 - 2019,290,0,1
1 - 2019,291,0,8
1 - 2019,291,1,1
1 - 2019,292,0,4
1 - 2019,293,0,4
1 - 2019,294,0,13
1 - 2019,295,0,11
1 - 2019,295,1,1
1 - 2019,296,0,4
1 - 2019,297,0,1
1 - 2019,298,0,1
1 - 2019,299,0,2
1 - 2019,300,0,1
1 - 2019,301,0,1
1 - 2019,302,0,1
1 - 2019,304,0,11
1 - 2019,305,0,1
1 - 2019,306,0,2
1 - 2019,308,0,2
1 - 2019,309,0,4
1 - 2019,310,0,5
1 - 2019,311,0,1
1 - 2019,312,0,7
1 - 2019,313,0,2
1 - 2019,313,1,1
1 - 2019,315,0,12
1 - 2019,316,0,1
1 - 2019,317,0,6
1 - 2019,318,0,10
1 - 2019,320,0,5
1 - 2019,321,0,3
1 - 2019,322,0,1
1 - 2019,323,0,1
1 - 2019,324,0,1
1 - 2019,325,0,2
1 - 2019,326,0,1
1 - 2019,327,1,1
1 - 2019,328,0,7
1 - 2019,329,0,2
1 - 2019,330,0,3
1 - 2019,330,1,1
1 - 2019,331,0,3
1 - 2019,332,0,8
1 - 2019,332,1,1
1 - 2019,333,0,5
1 - 2019,334,0,2
1 - 2019,334,1,1
1 - 2019,335,0,1
1 - 2019,335,1,1
1 - 2019,336,0,3
1 - 2019,337,0,15
1 - 2019,337,1,1
1 - 2019,338,0,14
1 - 2019,339,0,3
1 - 2019,339,1,1
1 - 2019,340,0,23
1 - 2019,341,0,1
1 - 2019,342,0,2
1 - 2019,344,0,3
1 - 2019,345,0,6
1 - 2019,346,0,4
1 - 2019,346,2,2
1 - 2019,347,0,2
1 - 2019,348,0,2
1 - 2019,349,0,2
1 - 2019,349,1,1
1 - 2019,350,0,4
1 - 2019,350,1,1
1 - 2019,351,0,7
1 - 2019,353,0,5
1 - 2019,354,0,2
1 - 2019,355,0,2
1 - 2019,356,0,7
1 - 2019,356,1,1
1 - 2019,356,2,1
1 - 2019,358,0,7
1 - 2019,358,1,2
1 - 2019,360,0,2
1 - 2019,361,0,2
1 - 2019,362,0,8
1 - 2019,366,0,3
1 - 2019,369,0,4
1 - 2019,372,0,1
1 - 2019,373,0,6
1 - 2019,374,0,18
1 - 2019,375,0,1
1 - 2019,375,2,1
1 - 2019,376,0,5
1 - 2019,377,0,13
1 - 2019,378,0,7
1 - 2019,379,0,1
1 - 2019,380,0,3
1 - 2019,381,0,9
1 - 2019,382,0,1
1 - 2019,383,0,3
1 - 2019,385,0,7
1 - 2019,386,0,1
1 - 2019,387,0,5
1 - 2019,388,0,3
1 - 2019,389,0,1
1 - 2019,390,0,5
1 - 2019,390,1,1
1 - 2019,392,0,1
1 - 2019,394,0,1
1 - 2019,395,0,4
1 - 2019,396,0,7
1 - 2019,397,0,4
1 - 2019,398,0,3
1 - 2019,398,1,1
1 - 2019,399,0,8
1 - 2019,400,0,10
1 - 2019,401,0,2
1 - 2019,403,0,2
1 - 2019,403,1,1
1 - 2019,404,0,1
1 - 2019,405,0,2
1 - 2019,406,0,1
1 - 2019,406,1,1
1 - 2019,407,0,4
1 - 2019,409,0,5
1 - 2019,410,0,2
1 - 2019,411,1,1
1 - 2019,412,0,4
1 - 2019,413,0,4
1 - 2019,413,1,1
1 - 2019,414,0,8
1 - 2019,417,0,1
1 - 2019,418,0,6
1 - 2019,421,0,1
1 - 2019,422,0,2
1 - 2019,422,1,1
1 - 2019,424,0,10
1 - 2019,428,0,4
1 - 2019,429,0,4
1 - 2019,430,0,3
1 - 2019,432,0,2
1 - 2019,433,0,1
1 - 2019,434,0,10
1 - 2019,435,0,4
1 - 2019,435,1,1
1 - 2019,436,0,1
1 - 2019,438,0,1
1 - 2019,439,0,1
1 - 2019,440,0,1
1 - 2019,441,0,4
1 - 2019,442,0,4
1 - 2019,443,0,3
1 - 2019,444,0,8
1 - 2019,445,0,2
1 - 2019,448,0,5
1 - 2019,452,0,1
1 - 2019,453,0,1
1 - 2019,453,1,1
1 - 2019,454,0,1
1 - 2019,455,0,2
1 - 2019,455,1,1
1 - 2019,456,0,2
1 - 2019,457,0,1
1 - 2019,459,0,8
1 - 2019,460,0,5
1 - 2019,461,0,8
1 - 2019,463,0,5
1 - 2019,464,0,5
1 - 2019,465,0,3
1 - 2019,466,0,7
1 - 2019,467,0,6
1 - 2019,468,0,6
1 - 2019,469,0,6
1 - 2019,469,1,1
1 - 2019,471,0,7
1 - 2019,472,0,2
1 - 2019,473,0,3
1 - 2019,473,1,1
1 - 2019,475,0,2
1 - 2019,476,0,6
1 - 2019,476,1,1
1 - 2019,477,0,1
1 - 2019,478,0,2
1 - 2019,479,0,5
1 - 2019,479,1,5
1 - 2019,480,0,2
1 - 2019,482,0,1
1 - 2019,483,0,1
1 - 2019,484,0,1
1 - 2019,486,0,3
1 - 2019,487,0,1
1 - 2019,488,0,1
1 - 2019,489,0,6
1 - 2019,489,1,2
1 - 2019,490,0,10
1 - 2019,491,0,4
1 - 2019,492,0,5
1 - 2019,493,0,6
1 - 2019,496,0,7
1 - 2019,497,1,2
1 - 2019,498,0,1
1 - 2019,499,0,6
1 - 2019,502,0,1
1 - 2019,502,1,1
1 - 2019,504,0,3
1 - 2019,508,0,5
1 - 2019,509,0,1
1 - 2019,510,0,5
1 - 2019,510,1,1
1 - 2019,513,0,9
1 - 2019,514,0,2
1 - 2019,515,0,5
1 - 2019,515,1,1
1 - 2019,516,0,2
1 - 2019,517,0,4
1 - 2019,518,0,3
1 - 2019,521,0,4
1 - 2019,522,0,2
1 - 2019,523,0,1
1 - 2019,524,0,2
1 - 2019,526,0,7
1 - 2019,527,0,1
1 - 2019,528,0,8
1 - 2019,531,0,5
1 - 2019,531,1,3
1 - 2019,532,0,1
1 - 2019,533,0,14
1 - 2019,533,1,1
1 - 2019,534,0,3
1 - 2019,535,0,1
1 - 2019,536,0,1
1 - 2019,537,0,3
1 - 2019,537,1,1
1 - 2019,540,0,2
1 - 2019,540,1,1
1 - 2019,541,0,1
1 - 2019,542,0,2
1 - 2019,542,1,1
1 - 2019,543,0,5
1 - 2019,543,1,1
1 - 2019,546,0,1
1 - 2019,547,0,2
1 - 2019,550,0,1
1 - 2019,551,0,1
1 - 2019,556,0,3
1 - 2019,559,0,2
1 - 2019,560,0,3
1 - 2019,563,0,3
1 - 2019,563,1,1
1 - 2019,564,0,6
1 - 2019,565,0,1
1 - 2019,565,1,1
1 - 2019,565,2,1
1 - 2019,568,0,5
1 - 2019,572,0,5
1 - 2019,572,1,1
1 - 2019,574,0,3
1 - 2019,575,0,1
1 - 2019,578,0,3
1 - 2019,579,0,1
1 - 2019,580,0,7
1 - 2019,581,0,4
1 - 2019,583,0,2
1 - 2019,583,1,1
1 - 2019,584,0,4
1 - 2019,584,1,2
1 - 2019,585,0,1
1 - 2019,586,0,6
1 - 2019,587,0,3
1 - 2019,587,1,1
1 - 2019,589,0,1
1 - 2019,590,0,4
1 - 2019,590,1,2
1 - 2019,591,0,1
1 - 2019,592,1,1
1 - 2019,593,0,6
1 - 2019,596,0,4
1 - 2019,597,0,1
1 - 2019,598,0,7
1 - 2019,600,0,4
1 - 2019,601,0,6
1 - 2019,602,0,1
1 - 2019,603,0,1
1 - 2019,604,0,4
1 - 2019,605,0,2
1 - 2019,606,0,6
1 - 2019,607,0,1
1 - 2019,608,0,1
1 - 2019,608,1,3
1 - 2019,609,0,1
1 - 2019,610,0,1
1 - 2019,611,0,6
1 - 2019,612,0,8
1 - 2019,612,1,2
1 - 2019,613,0,1
1 - 2019,614,0,1
1 - 2019,615,0,2
1 - 2019,616,1,1
1 - 2019,618,0,7
1 - 2019,619,0,1
1 - 2019,620,0,8
1 - 2019,622,0,1
1 - 2019,623,0,1
1 - 2019,623,1,1
1 - 2019,624,0,2
1 - 2019,625,0,6
1 - 2019,627,0,5
1 - 2019,627,1,1
1 - 2019,631,0,2
1 - 2019,632,0,2
1 - 2019,633,0,2
1 - 2019,634,0,5
1 - 2019,638,0,1
1 - 2019,639,0,3
1 - 2019,640,0,6
1 - 2019,641,0,2
1 - 2019,641,1,1
1 - 2019,643,0,1
1 - 2019,644,0,1
1 - 2019,646,0,1
1 - 2019,647,0,10
1 - 2019,650,0,4
1 - 2019,651,0,8
1 - 2019,653,0,3
1 - 2019,653,1,2
1 - 2019,654,0,1
1 - 2019,657,0,2
1 - 2019,658,0,1
1 - 2019,659,0,4
1 - 2019,660,0,1
1 - 2019,661,0,2
1 - 2019,665,0,11
1 - 2019,669,0,1
1 - 2019,670,0,5
1 - 2019,672,0,2
1 - 2019,672,1,1
1 - 2019,673,0,5
1 - 2019,675,0,1
1 - 2019,676,0,1
1 - 2019,678,0,1
1 - 2019,679,0,6
1 - 2019,679,1,2
1 - 2019,680,0,12
1 - 2019,681,0,2
1 - 2019,683,0,1
1 - 2019,684,0,1
1 - 2019,684,1,1
1 - 2019,686,0,2
1 - 2019,688,0,6
1 - 2019,689,0,8
1 - 2019,690,0,4
1 - 2019,691,0,2
1 - 2019,692,0,7
1 - 2019,694,0,3
1 - 2019,695,0,1
1 - 2019,697,0,4
1 - 2019,701,0,1
1 - 2019,701,1,1
1 - 2019,702,0,1
1 - 2019,704,0,2
1 - 2019,708,0,1
1 - 2019,709,1,1
1 - 2019,710,0,4
1 - 2019,712,0,4
1 - 2019,713,0,3
1 - 2019,714,0,2
1 - 2019,715,0,1
1 - 2019,715,1,1
1 - 2019,719,0,8
1 - 2019,721,0,1
1 - 2019,722,0,3
1 - 2019,724,0,2
1 - 2019,727,0,2
1 - 2019,728,0,1
1 - 2019,730,0,1
1 - 2019,731,0,1
1 - 2019,732,0,4
1 - 2019,734,0,3
1 - 2019,736,0,1
1 - 2019,736,1,2
1 - 2019,737,0,5
1 - 2019,738,0,1
1 - 2019,738,1,1
1 - 2019,739,0,2
1 - 2019,739,1,2
1 - 2019,742,0,1
1 - 2019,742,1,1
1 - 2019,744,0,1
1 - 2019,745,0,9
1 - 2019,747,0,1
1 - 2019,748,0,3
1 - 2019,749,0,2
1 - 2019,750,0,2
1 - 2019,750,1,1
1 - 2019,750,2,1
1 - 2019,751,0,8
1 - 2019,752,0,1
1 - 2019,753,0,1
1 - 2019,753,1,1
1 - 2019,754,0,4
1 - 2019,756,0,3
1 - 2019,757,0,1
1 - 2019,758,0,3
1 - 2019,761,0,3
1 - 2019,762,0,10
1 - 2019,763,0,1
1 - 2019,765,0,2
1 - 2019,766,0,1
1 - 2019,767,0,1
1 - 2019,768,1,1
1 - 2019,769,0,1
1 - 2019,769,1,1
1 - 2019,770,0,1
1 - 2019,773,0,2
1 - 2019,782,0,6
1 - 2019,782,1,1
1 - 2019,783,0,1
1 - 2019,788,0,5
1 - 2019,789,0,2
1 - 2019,792,0,2
1 - 2019,794,0,12
1 - 2019,795,0,2
1 - 2019,796,0,2
1 - 2019,797,0,1
1 - 2019,802,0,1
1 - 2019,803,0,6
1 - 2019,808,0,2
1 - 2019,810,0,1
1 - 2019,811,0,2
1 - 2019,811,1,1
1 - 2019,813,0,5
1 - 2019,814,0,1
1 - 2019,815,0,1
1 - 2019,816,0,2
1 - 2019,818,0,5
1 - 2019,819,0,2
1 - 2019,823,0,1
1 - 2019,824,0,1
1 - 2019,825,0,2
1 - 2019,826,0,2
1 - 2019,826,1,2
1 - 2019,827,0,5
1 - 2019,828,0,5
1 - 2019,829,1,1
1 - 2019,831,0,10
1 - 2019,833,0,1
1 - 2019,834,0,6
1 - 2019,835,0,1
1 - 2019,836,0,2
1 - 2019,840,0,2
1 - 2019,840,1,1
1 - 2019,843,0,1
1 - 2019,845,0,1
1 - 2019,848,0,1
1 - 2019,852,0,1
1 - 2019,854,0,1
1 - 2019,856,0,3
1 - 2019,857,0,1
1 - 2019,858,0,1
1 - 2019,859,0,1
1 - 2019,860,0,2
1 - 2019,861,0,3
1 - 2019,862,0,8
1 - 2019,862,1,1
1 - 2019,863,0,1
1 - 2019,864,0,3
1 - 2019,866,0,10
1 - 2019,867,0,3
1 - 2019,868,0,7
1 - 2019,869,0,3
1 - 2019,870,0,10
1 - 2019,870,1,1
1 - 2019,871,0,4
1 - 2019,872,0,5
1 - 2019,873,0,1
1 - 2019,874,0,1
1 - 2019,876,1,1
1 - 2019,877,0,1
1 - 2019,878,0,1
1 - 2019,879,0,4
1 - 2019,881,0,1
1 - 2019,882,0,1
1 - 2019,885,0,1
1 - 2019,886,0,10
1 - 2019,886,1,1
1 - 2019,889,0,6
1 - 2019,893,1,1
1 - 2019,895,0,5
1 - 2019,895,1,2
1 - 2019,897,0,1
1 - 2019,898,0,6
1 - 2019,900,0,4
1 - 2019,901,0,6
1 - 2019,902,0,7
1 - 2019,903,0,1
1 - 2019,904,0,1
1 - 2019,905,0,1
1 - 2019,906,0,1
1 - 2019,906,1,1
1 - 2019,907,0,3
1 - 2019,913,0,5
1 - 2019,914,0,3
1 - 2019,920,0,4
1 - 2019,921,0,2
1 - 2019,922,0,5
1 - 2019,923,0,2
1 - 2019,924,0,2
1 - 2019,925,0,3
1 - 2019,926,0,2
1 - 2019,927,0,4
1 - 2019,928,0,2
1 - 2019,929,0,4
1 - 2019,930,0,1
1 - 2019,931,0,1
1 - 2019,931,1,1
1 - 2019,932,0,5
1 - 2019,933,0,2
1 - 2019,934,0,1
1 - 2019,939,0,4
1 - 2019,939,1,1
1 - 2019,940,0,7
1 - 2019,941,0,2
1 - 2019,942,0,2
1 - 2019,946,0,1
1 - 2019,947,0,1
1 - 2019,948,0,3
1 - 2019,950,0,1
1 - 2019,951,0,2
1 - 2019,952,0,4
1 - 2019,953,0,3
1 - 2019,954,0,1
1 - 2019,956,0,1
1 - 2019,958,0,3
1 - 2019,960,0,4
1 - 2019,961,0,2
1 - 2019,963,0,1
1 - 2019,967,0,2
1 - 2019,969,0,1
1 - 2019,974,0,1
1 - 2019,975,0,2
1 - 2019,976,0,3
1 - 2019,980,0,4
1 - 2019,982,0,12
1 - 2019,983,0,8
1 - 2019,984,0,1
1 - 2019,985,0,4
1 - 2019,986,0,3
1 - 2019,987,0,3
1 - 2019,987,1,1
1 - 2019,989,0,2
1 - 2019,992,0,5
1 - 2019,994,0,3
1 - 2019,995,0,1
1 - 2019,996,0,3
1 - 2019,997,0,3
1 - 2019,999,0,5
1 - 2019,1000,0,5
1 - 2019,1001,0,2
1 - 2019,1003,0,1
1 - 2019,1005,0,1
1 - 2019,1008,0,8
1 - 2019,1009,0,7
1 - 2019,1010,0,1
1 - 2019,1011,0,1
1 - 2019,1014,0,5
1 - 2019,1014,1,1
1 - 2019,1016,0,1
1 - 2019,1018,0,1
1 - 2019,1020,0,5
1 - 2019,1021,0,1
1 - 2019,1024,0,1
1 - 2019,1025,0,10
1 - 2019,1026,0,4
1 - 2019,1027,0,1
1 - 2019,1028,1,1
1 - 2019,1029,0,1
1 - 2019,1030,0,1
1 - 2019,1031,0,3
1 - 2019,1031,1,1
1 - 2019,1033,0,3
1 - 2019,1033,1,1
1 - 2019,1035,0,2
1 - 2019,1037,0,5
1 - 2019,1038,0,1
1 - 2019,1039,0,4
1 - 2019,1040,0,1
1 - 2019,1042,0,4
1 - 2019,1042,1,1
1 - 2019,1043,0,7
1 - 2019,1043,1,1
1 - 2019,1046,0,9
1 - 2019,1046,1,1
1 - 2019,1048,0,2
1 - 2019,1049,0,3
1 - 2019,1052,0,4
1 - 2019,1053,0,8
1 - 2019,1056,0,1
1 - 2019,1056,1,1
1 - 2019,1057,0,3
1 - 2019,1058,0,3
1 - 2019,1059,0,7
1 - 2019,1063,0,1
1 - 2019,1064,0,1
1 - 2019,1066,0,6
1 - 2019,1068,0,1
1 - 2019,1069,0,2
1 - 2019,1071,0,5
1 - 2019,1071,1,1
1 - 2019,1072,0,3
1 - 2019,1074,0,1
1 - 2019,1075,0,2
1 - 2019,1078,0,2
1 - 2019,1079,0,4
1 - 2019,1085,0,5
1 - 2019,1086,0,18
1 - 2019,1093,0,10
1 - 2019,1096,1,1
1 - 2019,1097,0,7
1 - 2019,1098,0,4
1 - 2019,1101,0,2
1 - 2019,1103,0,2
1 - 2019,1104,0,4
1 - 2019,1105,0,2
1 - 2019,1107,0,1
1 - 2019,1109,0,1
1 - 2019,1114,0,1
1 - 2019,1117,0,1
1 - 2019,1120,0,7
1 - 2019,1121,0,5
1 - 2019,1122,0,7
1 - 2019,1123,0,4
1 - 2019,1124,0,1
1 - 2019,1133,0,1
1 - 2019,1134,0,6
1 - 2019,1136,0,12
1 - 2019,1138,0,1
1 - 2019,1141,0,1
1 - 2019,1142,0,1
1 - 2019,1146,0,1
1 - 2019,1148,0,1
1 - 2019,1149,0,1
1 - 2019,1150,0,4
1 - 2019,1152,0,1
1 - 2019,1154,0,2
1 - 2019,1155,0,3
1 - 2019,1158,0,2
1 - 2019,1164,0,2
1 - 2019,1166,0,1
1 - 2019,1167,0,7
1 - 2019,1168,0,3
1 - 2019,1169,0,1
1 - 2019,1170,0,4
1 - 2019,1173,0,8
1 - 2019,1176,0,2
1 - 2019,1177,0,4
1 - 2019,1178,0,1
1 - 2019,1180,0,1
1 - 2019,1181,0,1
1 - 2019,1182,0,1
1 - 2019,1183,0,2
1 - 2019,1186,0,8
1 - 2019,1186,1,2
1 - 2019,1188,0,1
1 - 2019,1190,0,4
1 - 2019,1191,0,3
1 - 2019,1193,0,3
1 - 2019,1196,0,9
1 - 2019,1197,0,2
1 - 2019,1199,0,2
1 - 2019,1199,1,1
1 - 2019,1202,0,10
1 - 2019,1202,1,1
1 - 2019,1203,0,1
1 - 2019,1204,0,1
1 - 2019,1207,0,2
1 - 2019,1211,0,6
1 - 2019,1212,0,1
1 - 2019,1213,0,1
1 - 2019,1215,0,1
1 - 2019,1216,0,1
1 - 2019,1219,0,1
1 - 2019,1220,0,11
1 - 2019,1220,1,1
1 - 2019,1221,0,3
1 - 2019,1223,0,3
1 - 2019,1223,1,2
1 - 2019,1224,1,1
1 - 2019,1225,0,2
1 - 2019,1226,0,2
1 - 2019,1230,0,1
1 - 2019,1230,1,1
1 - 2019,1233,0,4
1 - 2019,1234,0,8
1 - 2019,1235,0,3
1 - 2019,1237,0,3
1 - 2019,1239,0,1
1 - 2019,1240,0,1
1 - 2019,1241,0,6
1 - 2019,1241,1,3
1 - 2019,1242,0,17
1 - 2019,1246,0,5
1 - 2019,1247,0,3
1 - 2019,1249,0,9
1 - 2019,1252,0,1
1 - 2019,1254,0,3
1 - 2019,1255,0,1
1 - 2019,1260,0,1
1 - 2019,1262,0,2
1 - 2019,1262,1,1
1 - 2019,1263,0,1
1 - 2019,1264,0,2
1 - 2019,1265,0,3
1 - 2019,1268,0,2
1 - 2019,1269,0,4
1 - 2019,1270,0,1
1 - 2019,1271,0,1
1 - 2019,1274,0,3
1 - 2019,1275,0,5
1 - 2019,1276,1,1
1 - 2019,1278,0,7
1 - 2019,1281,0,4
1 - 2019,1282,0,1
1 - 2019,1284,0,1
1 - 2019,1287,0,4
1 - 2019,1289,1,1
1 - 2019,1290,0,1
1 - 2019,1293,0,2
1 - 2019,1293,1,1
1 - 2019,1295,0,1
1 - 2019,1296,0,1
1 - 2019,1305,0,1
1 - 2019,1306,0,2
1 - 2019,1306,1,1
1 - 2019,1308,0,1
1 - 2019,1309,0,2
1 - 2019,1309,1,1
1 - 2019,1311,0,5
1 - 2019,1314,0,3
1 - 2019,1315,0,1
1 - 2019,1316,0,4
1 - 2019,1317,0,1
1 - 2019,1318,0,4
1 - 2019,1323,0,3
1 - 2019,1327,0,3
1 - 2019,1328,0,8
1 - 2019,1329,0,1
1 - 2019,1331,0,8
1 - 2019,1333,0,5
1 - 2019,1335,0,2
1 - 2019,1336,0,1
1 - 2019,1338,0,4
1 - 2019,1339,0,2
1 - 2019,1343,0,10
1 - 2019,1344,0,1
1 - 2019,1351,0,1
1 - 2019,1353,0,3
1 - 2019,1354,0,9
1 - 2019,1355,0,2
1 - 2019,1356,0,1
1 - 2019,1359,0,4
1 - 2019,1360,0,2
1 - 2019,1362,0,1
1 - 2019,1366,0,1
1 - 2019,1367,0,1
1 - 2019,1367,1,1
1 - 2019,1370,0,3
1 - 2019,1371,0,1
1 - 2019,1373,0,1
1 - 2019,1375,0,1
1 - 2019,1377,0,2
1 - 2019,1378,0,1
1 - 2019,1380,0,1
1 - 2019,1381,0,1
1 - 2019,1382,0,1
1 - 2019,1384,0,2
1 - 2019,1385,0,2
1 - 2019,1389,0,3
1 - 2019,1392,0,1
1 - 2019,1394,0,6
1 - 2019,1397,0,3
1 - 2019,1400,0,3
1 - 2019,1402,0,2
1 - 2019,1404,0,4
1 - 2019,1404,1,1
1 - 2019,1405,0,1
1 - 2019,1406,0,1
1 - 2019,1409,0,2
1 - 2019,1412,0,6
1 - 2019,1413,0,1
1 - 2019,1415,0,2
1 - 2019,1417,0,1
